Player,Team,Season,Class,Year out of HS,Year Played,Games Played,Fantasy Points,Points per Game,Draft Pick Overall
Drew Pyne,Arizona State,2023,2024,4,4,2,4.7,2.4,NA
Brian Maurer,Stephen F. Austin,2020,2024,2,2,4,4.5,1.1,NA
Max Browne,Pittsburgh,2015,2018,3,3,3,4.5,1.5,NA
J.J. Kohl,Iowa State,2023,2026,1,1,3,4.1,1.4,NA
Jacolby Criswell,Arkansas,2022,2024,3,3,4,4.1,1,NA
Walker Howard,Ole Miss,2022,2025,1,1,2,3.6,1.8,NA
Miller Moss,USC,2021,2024,1,1,1,3.6,3.6,NA
Graham Mertz,Florida,2019,2024,1,1,2,3.5,1.8,NA
Jack Tuttle,Michigan,2019,2024,2,1,5,3.4,0.7,NA
Quincy Patterson II,Temple,2018,2024,1,1,3,2.9,1,NA
Myles Brennan,LSU,2018,2022,2,2,1,2.6,2.6,NA
Max Browne,Pittsburgh,2014,2018,2,2,3,2.5,0.8,NA
Walker Howard,Ole Miss,2023,2025,2,2,1,2.2,2.2,NA
Austin Novosad,Oregon,2023,2026,1,1,3,2.1,0.7,NA
Zach Pyron,Georgia Tech,2023,2025,2,2,6,1.7,0.3,NA
Cammon Cooper,Hawai'i,2021,2023,4,3,3,1.7,0.6,NA
Grant Gunnell,Sam Houston State,2023,2024,5,5,1,1.6,1.6,NA
Ty Simpson,Alabama,2022,2025,1,1,3,1.4,0.5,NA
Katin Houser,Michigan State,2022,2025,1,1,1,1.4,1.4,NA
Ryan Hilinski,Northwestern,2020,2024,2,2,2,1.4,0.7,NA
Tate Martell,UNLV,2021,2022,5,5,2,1.3,0.6,NA
Hudson Card,Purdue,2020,2024,1,1,2,1.3,0.7,NA
Jacolby Criswell,Arkansas,2020,2024,1,1,4,1.2,0.3,NA
Tate Martell,UNLV,2019,2022,3,3,3,1,0.3,NA
Drew Pyne,Arizona State,2020,2024,1,1,2,0.9,0.4,NA
Brock Vandagriff,Georgia,2022,2024,2,2,2,0.7,0.4,NA
Anthony Russo,Michigan State,2021,2022,6,5,3,0.7,0.2,NA
Pierce Clarkson,Louisville,2023,2026,1,1,1,0.6,0.6,NA
Kenny Minchey,Notre Dame,2023,2026,1,1,1,0.5,0.5,NA
Grant Gunnell,Sam Houston State,2022,2024,4,4,2,0.5,0.2,NA
Ty Evans,Texas State,2021,2023,3,3,1,0.5,0.5,NA
Hunter Johnson,Clemson,2022,2023,6,5,2,0.4,0.2,NA
Gerry Bohanon,Baylor,2018,2021,1,1,1,0.3,0.3,NA
Bart Houston,Wisconsin,2013,2017,2,2,1,0.3,0.3,NA
